,Ticker,Date,CR,QR,IntT,Wcap
483,MU,2017-11-30,1.1059,1.7512,4.0552,5810.0
484,MU,2017-08-31,1.0176,1.6719,3.9541,5280.0
485,MU,2017-06-01,0.8419,1.4618,3.8429,4759.0
486,MU,2017-03-02,0.7486,1.2341,3.9019,4164.0
487,MU,2016-12-01,0.7517,1.1415,3.9931,3635.0
488,MU,2016-09-01,0.9096,1.2747,3.7843,3468.0
489,MU,2016-06-02,1.1069,1.4962,3.7299,3568.0
490,TSLA,2019-06-30,0.5167,0.6364,6.1095,1395.871
491,TSLA,2019-03-31,0.2378,0.3511,5.7609,1634.9679999999996
492,TSLA,2018-12-31,0.3689,0.4638,6.4792,658.0169999999998
493,TSLA,2018-09-30,0.3036,0.4217,5.0076,872.1439999999999
494,TSLA,2018-06-30,0.2446,0.307,4.0677,864.0239999999999
495,TSLA,2018-03-31,0.3082,0.3836,4.371,615.1759999999998
496,TSLA,2017-12-31,0.4388,0.506,4.4037,388.668
497,TSLA,2017-09-30,0.5457,0.6396,4.1885,693.3380000000002
498,TSLA,2017-06-30,0.4638,0.5329999999999999,3.786,532.3340000000002
499,TSLA,2017-03-31,0.6415,0.7120000000000001,3.7104,585.352
